feature_index,feature_name,raw_column,source_role,question_id,question_text,question_type,option_label,applicable_categories,is_missing_sentinel,train_positive_count
0,category__all_other_app_types,category,category,,Questionnaire category. Encoding belongs to task 4.,category,All Other App Types,All Other App Types || Game || Social or Communication,false,394
1,category__game,category,category,,Questionnaire category. Encoding belongs to task 4.,category,Game,All Other App Types || Game || Social or Communication,false,406
2,category__social_or_communication,category,category,,Questionnaire category. Encoding belongs to task 4.,category,Social or Communication,All Other App Types || Game || Social or Communication,false,10
3,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__no,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,radio,are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,"Are there any fierce sounds, sinister or intimidating characters, or dark overtones associated with this violence?",radio,No,All Other App Types || Game,false,174
4,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__yes,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,radio,are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,"Are there any fierce sounds, sinister or intimidating characters, or dark overtones associated with this violence?",radio,Yes,All Other App Types || Game,false,10
5,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__inactive,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,radio,are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,"Are there any fierce sounds, sinister or intimidating characters, or dark overtones associated with this violence?",radio,__INACTIVE__,All Other App Types || Game,true,616
6,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__not_applicable,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,radio,are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f,"Are there any fierce sounds, sinister or intimidating characters, or dark overtones associated with this violence?",radio,__NOT_APPLICABLE__,All Other App Types || Game,true,10
7,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__no,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9,radio,are_there_detailed_descriptions_of_techniques_that_could_207c80c9,Are there detailed descriptions of techniques that could be used in criminal offenses?,radio,No,Game,false,9
8,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__yes,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9,radio,are_there_detailed_descriptions_of_techniques_that_could_207c80c9,Are there detailed descriptions of techniques that could be used in criminal offenses?,radio,Yes,Game,false,12
9,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__inactive,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9,radio,are_there_detailed_descriptions_of_techniques_that_could_207c80c9,Are there detailed descriptions of techniques that could be used in criminal offenses?,radio,__INACTIVE__,Game,true,385
10,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__not_applicable,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9,radio,are_there_detailed_descriptions_of_techniques_that_could_207c80c9,Are there detailed descriptions of techniques that could be used in criminal offenses?,radio,__NOT_APPLICABLE__,Game,true,404
11,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__no,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,radio,are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,Are these crimes or criminal techniques likely to be imitated by children or youths?,radio,No,Game,false,11
12,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__yes,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,radio,are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,Are these crimes or criminal techniques likely to be imitated by children or youths?,radio,Yes,Game,false,10
13,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__inactive,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,radio,are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,Are these crimes or criminal techniques likely to be imitated by children or youths?,radio,__INACTIVE__,Game,true,385
14,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__not_applicable,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,radio,are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a,Are these crimes or criminal techniques likely to be imitated by children or youths?,radio,__NOT_APPLICABLE__,Game,true,404
15,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__no,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141,radio,are_these_dating_games_prominently_featured_or_a_strong__aaafc141,Are these dating games prominently featured or a strong focus of the product?,radio,No,Game,false,6
