feature_index,feature_name
0,category__all_other_app_types
1,category__game
2,category__social_or_communication
3,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__no
4,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__yes
5,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__inactive
6,answer__are_there_any_fierce_sounds_sinister_or_intimidating_cha_c6faf05f__not_applicable
7,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__no
8,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__yes
9,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__inactive
10,answer__are_there_detailed_descriptions_of_techniques_that_could_207c80c9__not_applicable
11,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__no
12,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__yes
13,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__inactive
14,answer__are_these_crimes_or_criminal_techniques_likely_to_be_imi_3820601a__not_applicable
15,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__no
16,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__yes
17,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__inactive
18,answer__are_these_dating_games_prominently_featured_or_a_strong__aaafc141__not_applicable
19,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__no
20,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__yes
21,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__inactive
22,answer__are_these_depictions_strictly_limited_to_slapstick_viole_d3c73bb1__not_applicable
23,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__no
24,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__yes
25,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__inactive
26,answer__are_these_gambling_themes_prominently_featured_or_a_stro_d54762be__not_applicable
27,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__no
28,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__yes
29,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__inactive
30,answer__are_these_revealing_outfits_ever_depicted_in_an_erotic_o_a25a70b0__not_applicable
